,base_rec_few,base_edit_few,left_rec_few,left_edit_few,right_rec_few,right_edit_few,tlora_rec_few,tlora_edit_few,base_rec_one,base_edit_one,left_rec_one,left_edit_one,right_rec_one,right_edit_one,tlora_rec_one,base_rec_few_clean,base_rec_one_clean,left_rec_few_clean,left_rec_one_clean,right_rec_few_clean,right_rec_one_clean
100,0.8134765625,0.35452368951612906,0.8203125,0.3551419165826613,0.83935546875,0.35078676285282256,0.78125,0.34933373235887094,0.818359375,0.35202715473790325,0.818359375,0.3535825667842742,0.8505859375,0.3502157888104839,0.77099609375,0.896484375,0.884765625,0.8828125,0.88427734375,0.91552734375,0.92138671875
200,0.900390625,0.34362005418346775,0.8671875,0.35125929309475806,0.88671875,0.3411195816532258,0.7939453125,0.3476365612399194,0.91015625,0.3436239919354839,0.84423828125,0.3529170866935484,0.91015625,0.3403162802419355,0.80322265625,0.95068359375,0.9501953125,0.93408203125,0.90966796875,0.9462890625,0.95458984375
300,0.9111328125,0.3421512726814516,0.8525390625,0.3504087386592742,0.90966796875,0.3387333039314516,0.84326171875,0.3415881741431452,0.93017578125,0.3357484879032258,0.88916015625,0.3498495778729839,0.92724609375,0.33690618699596775,0.8623046875,0.94921875,0.95654296875,0.93212890625,0.92919921875,0.94580078125,0.96142578125
400,0.92138671875,0.34139916204637094,0.85693359375,0.3488493888608871,0.9091796875,0.3372133316532258,0.88134765625,0.33803632182459675,0.93408203125,0.33355909778225806,0.90576171875,0.34464780745967744,0.93408203125,0.33012144027217744,0.8916015625,0.951171875,0.958984375,0.93701171875,0.9423828125,0.95361328125,0.96533203125
500,0.90478515625,0.34158423639112906,0.86572265625,0.3476050592237903,0.92236328125,0.33146421370967744,0.9072265625,0.33280698714717744,0.9384765625,0.32954652847782256,0.91259765625,0.33411432081653225,0.93603515625,0.32443926411290325,0.91259765625,0.94677734375,0.95849609375,0.94140625,0.93798828125,0.94189453125,0.966796875
600,0.919921875,0.3373472152217742,0.876953125,0.34368699596774194,0.91552734375,0.3331850113407258,0.92529296875,0.32923150831653225,0.94140625,0.3252780052923387,0.9091796875,0.33264947706653225,0.92822265625,0.32117486769153225,0.90185546875,0.94873046875,0.95947265625,0.94921875,0.94384765625,0.9482421875,0.9599609375
700,0.92919921875,0.3309129284274194,0.8955078125,0.33960748487903225,0.9267578125,0.33003087197580644,0.916015625,0.32802655619959675,0.9384765625,0.3181664251512097,0.896484375,0.3208578786542339,0.94287109375,0.3139549993699597,0.92236328125,0.9501953125,0.9599609375,0.9521484375,0.9404296875,0.947265625,0.96826171875
800,0.92822265625,0.33016869329637094,0.896484375,0.34438397807459675,0.92919921875,0.3299954322076613,0.93115234375,0.3269909274193548,0.93603515625,0.3164712229082661,0.88671875,0.3147484564012097,0.94775390625,0.30753843245967744,0.919921875,0.94384765625,0.95849609375,0.9423828125,0.92529296875,0.94970703125,0.96728515625
900,0.94091796875,0.3300938760080645,0.87109375,0.34282069052419356,0.935546875,0.3287904800907258,0.921875,0.3249708606350806,0.9375,0.3006493353074597,0.9091796875,0.3076290007560484,0.94580078125,0.29908014112903225,0.91748046875,0.95556640625,0.96240234375,0.90869140625,0.94873046875,0.9560546875,0.96826171875
1000,0.94140625,0.32856996597782256,0.9013671875,0.3394736013104839,0.93994140625,0.3256993447580645,0.92724609375,0.3231319304435484,0.93310546875,0.2898283927671371,0.88916015625,0.3042760049143145,0.92578125,0.2970088835685484,0.92041015625,0.9599609375,0.96240234375,0.939453125,0.92138671875,0.95751953125,0.9609375
